timestamp,OutDCA_1,OutDCV_1,In1DCV_1,In2DCV_1,DCWh_1,In1DCA_1,In2DCA_1,OutDCA_2,OutDCV_2,In1DCV_2,In2DCV_2,DCWh_2,In1DCA_2,In2DCA_2,OutDCA_3,OutDCV_3,In1DCV_3,In2DCV_3,DCWh_3,In1DCA_3,In2DCA_3,OutDCA_4,OutDCV_4,In1DCV_4,In2DCV_4,DCWh_4,In1DCA_4,In2DCA_4,OutDCA_5,OutDCV_5,In1DCV_5,In2DCV_5,DCWh_5,In1DCA_5,In2DCA_5,OutDCA_6,OutDCV_6,In1DCV_6,In2DCV_6,DCWh_6,In1DCA_6,In2DCA_6
1759269601598,-0.017,704,204,500,0,0,-0.016,-0.012,706,250,455,0,0,-0.016,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.012,703,251,451,0,0,-0.017
1759269621610,-0.017,704,204,500,0,0,-0.016,-0.012,706,250,455,0,0,-0.016,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.012,703,251,451,0,0,-0.017
1759269641670,-0.017,704,204,500,0,0,-0.016,-0.012,706,250,455,0,0,-0.016,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.013000000000000001,706,250,457,0,0.001,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.012,703,251,451,0,0,-0.017
1759269661616,-0.017,704,204,500,0,0,-0.016,-0.013000000000000001,706,250,456,0,0,-0.016,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269681634,-0.017,704,204,500,0,0,-0.016,-0.013000000000000001,706,250,456,0,0,-0.016,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269701679,-0.017,704,204,500,0,0,-0.016,-0.013000000000000001,706,250,456,0,0,-0.016,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269721703,-0.016,704,205,500,0,0,-0.016,-0.012,706,250,456,0,0,-0.017,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269741675,-0.016,704,205,500,0,0,-0.016,-0.012,706,250,456,0,0,-0.017,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269761663,-0.016,704,205,500,0,0,-0.016,-0.012,706,250,456,0,0,-0.017,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
1759269781657,-0.016,704,205,500,0,0,-0.016,-0.013000000000000001,706,250,456,0,0,-0.017,-0.014,706,250,457,0,0,-0.013000000000000001,-0.014,706,250,457,0,0,-0.013000000000000001,-0.016,707,204,502,0,0,-0.017,-0.013000000000000001,703,251,451,0,0,-0.017
